FC	reads	counts	conditions
1.2	40M	23	case
1.3	40M	238	case
1.4	40M	2953	case
1.5	10M	167	case
1.5	20M	932	case
1.5	40M	17858	case
2	10M	1601.3	case
2	20M	414986	case
2	40M	4307174	case
3	10M	1901455	case
3	20M	8679903	case
3	40M	13238151	case
1.2	40M	7	case
1.3	40M	177	case
1.4	40M	3121	case
1.5	10M	97	case
1.5	20M	1112	case
1.5	40M	19341	case
2	10M	15687	case
2	20M	472895	case
2	40M	4525108	case
3	10M	2076000	case
3	20M	8825535	case
3	40M	13224425	case
1.2	40M	39	case
1.3	40M	375	case
1.4	40M	3765	case
1.5	10M	122	case
1.5	20M	906	case
1.5	40M	18852	case
2	10M	15289	case
2	20M	426652	case
2	40M	4342767	case
3	10M	1943259	case
3	20M	8695721	case
3	40M	13256458	case
1.2	40M	9	case
1.3	40M	335	case
1.4	40M	3173	case
1.5	10M	183	case
1.5	20M	1459	case
1.5	40M	19417	case
2	10M	15975	case
2	20M	436886	case
2	40M	1349389	case
3	10M	1996122	case
3	20M	8812133	case
3	40M	13240177	case
1.2	40M	1	case
1.3	40M	408	case
1.4	40M	3673	case
1.5	10M	1	case
1.5	20M	947	case
1.5	40M	17785	case
2	10M	14348	case
2	20M	391694	case
2	40M	4255705	case
3	10M	1861896	case
3	20M	8696762	case
3	40M	13280597	case
1.5	10M	7	control
1.5	20M	10	control
1.5	40M	11	control
2	10M	63	control
2	20M	137	control
2	40M	175	control
3	10M	141	control
3	20M	297	control
3	40M	604	control
1.3	40M	2	control
1.4	40M	17	control
1.5	20M	2	control
1.5	40M	30	control
2	10M	63	control
2	20M	162	control
2	40M	194	control
3	10M	172	control
3	20M	391	control
3	40M	819	control
1.2	40M	5	control
1.3	40M	9	control
1.4	40M	4	control
1.5	10M	7	control
1.5	20M	2	control
1.5	40M	23	control
2	10M	36	control
2	20M	168	control
2	40M	148	control
3	10M	154	control
3	20M	329	control
3	40M	485	control
1.2	40M	2	control
1.5	20M	21	control
1.5	40M	19	control
2	10M	49	control
2	20M	199	control
2	40M	294	control
3	10M	223	control
3	20M	285	control
3	40M	636	control
1.2	40M	1	control
1.3	40M	1	control
1.4	40M	1	control
1.5	10M	1	control
1.5	20M	1	control
1.5	40M	35	control
2	10M	14	control
2	20M	190	control
2	40M	131	control
3	10M	190	control
3	20M	270	control
3	40M	724	control
