precision,rep,FC,Reads
0,0,1.2,40M
0.99509,0,1.3,40M
0.99973,0,1.4,40M
0,0,1.5,10M
1,0,1.5,20M
1,0,1.5,40M
0.99923,0,2,10M
0.99978,0,2,20M
0.99999,0,2,40M
0.99998,0,3,10M
0.99999,0,3,20M
0.99999,0,3,40M
1,1,1.2,40M
1,1,1.3,40M
0.99695,1,1.4,40M
1,1,1.5,10M
1,1,1.5,20M
0.99955,1,1.5,40M
0.99894,1,2,10M
0.99979,1,2,20M
0.99999,1,2,40M
0.99997,1,3,10M
0.99999,1,3,20M
0.99999,1,3,40M
1,2,1.2,40M
1,2,1.3,40M
1,2,1.4,40M
0.98958,2,1.5,10M
1,2,1.5,20M
0.99974,2,1.5,40M
0.99936,2,2,10M
0.9998,2,2,20M
0.99999,2,2,40M
0.99999,2,3,10M
0.99999,2,3,20M
0.99999,2,3,40M
0.97368,3,1.2,40M
0.99732,3,1.3,40M
0.99708,3,1.4,40M
1,3,1.5,10M
1,3,1.5,20M
0.99984,3,1.5,40M
0.99948,3,2,10M
0.99984,3,2,20M
0.99999,3,2,40M
0.99999,3,3,10M
0.99999,3,3,20M
0.99999,3,3,40M
1,4,1.2,40M
0.98294,4,1.3,40M
0.99811,4,1.4,40M
0.92307,4,1.5,10M
0.99931,4,1.5,20M
0.99969,4,1.5,40M
0.99649,4,2,10M
0.99985,4,2,20M
0.99995,4,2,40M
0.99998,4,3,10M
0.99999,4,3,20M
0.99999,4,3,40M
