species,kmers,Sequencing depths,FC,replicate,unique_kmers,precision
C.acnes,0,10M,1.5,0,0,0
M.restricta,0,10M,1.5,0,0,0
S.epidermidis,0,10M,1.5,0,0,0
S.pyogenes,0,10M,1.5,0,0,0
C.acnes,16,20M,1.5,0,7,0.4375
M.restricta,893,20M,1.5,0,699,0.782754759238522
S.epidermidis,38,20M,1.5,0,5,0.131578947368421
S.pyogenes,0,20M,1.5,0,0,0
C.acnes,2855,40M,1.5,0,1985,0.695271453590193
M.restricta,12855,40M,1.5,0,9992,0.777285103072734
S.epidermidis,2056,40M,1.5,0,335,0.162937743190661
S.pyogenes,19,40M,1.5,0,13,0.68421052631579
C.acnes,2031,10M,2,0,1392,0.685376661742984
M.restricta,11150,10M,2,0,8752,0.784932735426009
S.epidermidis,1122,10M,2,0,189,0.168449197860963
S.pyogenes,34,10M,2,0,26,0.764705882352941
C.acnes,180853,20M,2,0,124487,0.688332513146036
M.restricta,199660,20M,2,0,154388,0.7732545327056
S.epidermidis,9551,20M,2,0,3194,0.334415244477018
S.pyogenes,1566,20M,2,0,1116,0.71264367816092
C.acnes,1967120,40M,2,0,1337690,0.680024604497946
M.restricta,2061664,40M,2,0,1624816,0.788109022614742
S.epidermidis,217464,40M,2,0,132709,0.610257329948865
S.pyogenes,9656,40M,2,0,6139,0.635770505385253
C.acnes,1011486,10M,3,0,692850,0.684982293378257
M.restricta,784312,10M,3,0,612911,0.781463244219137
S.epidermidis,60978,10M,3,0,34010,0.557742136508249
S.pyogenes,5311,10M,3,0,3412,0.642440218414611
C.acnes,2491902,20M,3,0,1629136,0.653772098581726
M.restricta,5041419,20M,3,0,3980854,0.789629665774656
S.epidermidis,1083930,20M,3,0,676438,0.624060594318821
S.pyogenes,79907,20M,3,0,59183,0.740648503885767
C.acnes,2529170,40M,3,0,1639707,0.648318222974336
M.restricta,7273877,40M,3,0,5744248,0.78970925683786
S.epidermidis,2403707,40M,3,0,1488420,0.61921856532431
S.pyogenes,1074390,40M,3,0,818505,0.761832295535141
C.acnes,162,40M,1.4,0,66,0.407407407407407
M.restricta,3145,40M,1.4,0,2497,0.7939586645469
S.epidermidis,365,40M,1.4,0,66,0.180821917808219
S.pyogenes,0,40M,1.4,0,0,0
C.acnes,6,40M,1.3,0,6,1
M.restricta,394,40M,1.3,0,283,0.718274111675127
S.epidermidis,6,40M,1.3,0,0,0
S.pyogenes,0,40M,1.3,0,0,0
C.acnes,0,40M,1.2,0,0,0
M.restricta,0,40M,1.2,0,0,0
S.epidermidis,0,40M,1.2,0,0,0
S.pyogenes,0,40M,1.2,0,0,0
C.acnes,0,10M,1.5,1,0,0
M.restricta,166,10M,1.5,1,100,0.602409638554217
S.epidermidis,0,10M,1.5,1,0,0
S.pyogenes,0,10M,1.5,1,0,0
C.acnes,0,20M,1.5,1,0,0
M.restricta,853,20M,1.5,1,670,0.78546307151231
S.epidermidis,78,20M,1.5,1,38,0.487179487179487
S.pyogenes,0,20M,1.5,1,0,0
C.acnes,2608,40M,1.5,1,1592,0.610429447852761
M.restricta,13183,40M,1.5,1,10257,0.778047485397861
S.epidermidis,1998,40M,1.5,1,1592,0.796796796796797
S.pyogenes,60,40M,1.5,1,42,0.7
C.acnes,2320,10M,2,1,1601,0.690086206896552
M.restricta,12101,10M,2,1,9471,0.782662589868606
S.epidermidis,1566,10M,2,1,200,0.127713920817369
S.pyogenes,8,10M,2,1,0,0
C.acnes,201259,20M,2,1,139373,0.692505676764766
M.restricta,202862,20M,2,1,157076,0.77429977028719
S.epidermidis,9328,20M,2,1,3144,0.33704974271012
S.pyogenes,1458,20M,2,1,1168,0.801097393689986
C.acnes,2018511,40M,2,1,1367180,0.677321054975673
M.restricta,2069654,40M,2,1,1632116,0.788593648986739
S.epidermidis,210201,40M,2,1,128226,0.610016127420897
S.pyogenes,8933,40M,2,1,6177,0.691481025411396
C.acnes,1058808,10M,3,1,722616,0.682480676383254
M.restricta,778986,10M,3,1,608926,0.781690556698066
S.epidermidis,59066,10M,3,1,33305,0.563860765922866
S.pyogenes,4654,10M,3,1,3276,0.70391061452514
C.acnes,2496701,20M,3,1,1631154,0.653323725988815
M.restricta,5036493,20M,3,1,3975072,0.789253951112411
S.epidermidis,1077211,20M,3,1,672924,0.624690984403241
S.pyogenes,69847,20M,3,1,51952,0.743797156642375
C.acnes,2529303,40M,3,1,1639706,0.648283736665793
M.restricta,7273737,40M,3,1,5744554,0.789766525789976
S.epidermidis,2403157,40M,3,1,1488830,0.619530892072386
S.pyogenes,1032489,40M,3,1,788272,0.763467697960947
C.acnes,75,40M,1.4,1,22,0.293333333333333
M.restricta,2415,40M,1.4,1,1918,0.794202898550725
S.epidermidis,451,40M,1.4,1,79,0.175166297117517
S.pyogenes,2,40M,1.4,1,2,1
C.acnes,0,40M,1.3,1,0,0
M.restricta,220,40M,1.3,1,170,0.772727272727273
S.epidermidis,17,40M,1.3,1,0,0
S.pyogenes,0,40M,1.3,1,0,0
C.acnes,0,40M,1.2,1,0,0
M.restricta,22,40M,1.2,1,16,0.727272727272727
S.epidermidis,0,40M,1.2,1,0,0
S.pyogenes,0,40M,1.2,1,0,0
C.acnes,0,10M,1.5,2,0,0
M.restricta,95,10M,1.5,2,67,0.705263157894737
S.epidermidis,0,10M,1.5,2,0,0
S.pyogenes,0,10M,1.5,2,0,0
C.acnes,0,20M,1.5,2,0,0
M.restricta,997,20M,1.5,2,774,0.776328986960883
S.epidermidis,114,20M,1.5,2,39,0.342105263157895
S.pyogenes,0,20M,1.5,2,0,0
C.acnes,3462,40M,1.5,2,2104,0.607741190063547
M.restricta,13831,40M,1.5,2,11053,0.799146844045984
S.epidermidis,1987,40M,1.5,2,361,0.181680926019124
S.pyogenes,55,40M,1.5,2,39,0.709090909090909
C.acnes,2845,10M,2,2,1970,0.692442882249561
M.restricta,11333,10M,2,2,8953,0.789993823347746
S.epidermidis,1293,10M,2,2,194,0.150038669760248
S.pyogenes,5,10M,2,2,0,0
C.acnes,244594,20M,2,2,168655,0.689530405488279
M.restricta,217536,20M,2,2,169078,0.777241468078847
S.epidermidis,9234,20M,2,2,3115,0.337340264240849
S.pyogenes,1436,20M,2,2,1155,0.804317548746518
C.acnes,2107856,40M,2,2,1421254,0.674265224948953
M.restricta,2204230,40M,2,2,1738001,0.788484414058424
S.epidermidis,204606,40M,2,2,124406,0.608027135079128
S.pyogenes,8583,40M,2,2,5937,0.691716183152744
C.acnes,1173694,10M,3,2,799117,0.680856339045782
M.restricta,840113,10M,3,2,656012,0.780861622186539
S.epidermidis,57804,10M,3,2,32318,0.559096256314442
S.pyogenes,4468,10M,3,2,3166,0.708594449418084
C.acnes,2507020,20M,3,2,1634507,0.651972062448644
M.restricta,5191406,20M,3,2,4098477,0.78947341047878
S.epidermidis,1060877,20M,3,2,663227,0.625168610498672
S.pyogenes,66596,20M,3,2,49521,0.743603219412577
C.acnes,2529328,40M,3,2,1639716,0.648281282617359
M.restricta,7278675,40M,3,2,5748358,0.789753354834499
S.epidermidis,2401767,40M,3,2,1488425,0.619720813884111
S.pyogenes,1015222,40M,3,2,775443,0.763816189956482
C.acnes,144,40M,1.4,2,66,0.458333333333333
M.restricta,2628,40M,1.4,2,2111,0.803272450532725
S.epidermidis,348,40M,1.4,2,64,0.183908045977012
S.pyogenes,0,40M,1.4,2,0,0
C.acnes,0,40M,1.3,2,0,0
M.restricta,176,40M,1.3,2,103,0.585227272727273
S.epidermidis,0,40M,1.3,2,0,0
S.pyogenes,0,40M,1.3,2,0,0
C.acnes,0,40M,1.2,2,0,0
M.restricta,6,40M,1.2,2,6,1
S.epidermidis,0,40M,1.2,2,0,0
S.pyogenes,0,40M,1.2,2,0,0
C.acnes,0,10M,1.5,3,0,0
M.restricta,121,10M,1.5,3,55,0.454545454545455
S.epidermidis,0,10M,1.5,3,0,0
S.pyogenes,0,10M,1.5,3,0,0
C.acnes,10,20M,1.5,3,8,0.8
M.restricta,834,20M,1.5,3,648,0.776978417266187
S.epidermidis,61,20M,1.5,3,31,0.508196721311475
S.pyogenes,0,20M,1.5,3,0,0
C.acnes,2320,40M,1.5,3,1665,0.717672413793103
M.restricta,12961,40M,1.5,3,10946,0.844533600802407
S.epidermidis,1999,40M,1.5,3,361,0.180590295147574
S.pyogenes,60,40M,1.5,3,47,0.783333333333333
C.acnes,2331,10M,2,3,1623,0.696267696267696
M.restricta,11502,10M,2,3,9217,0.801338897583029
S.epidermidis,1441,10M,2,3,184,0.127689104788341
S.pyogenes,6,10M,2,3,0,0
C.acnes,210650,20M,2,3,145732,0.691820555423689
M.restricta,205160,20M,2,3,159255,0.776247806589979
S.epidermidis,9253,20M,2,3,2989,0.323030368529126
S.pyogenes,1530,20M,2,3,1225,0.800653594771242
C.acnes,2042390,40M,2,3,1383109,0.677201220139151
M.restricta,2095695,40M,2,3,1649691,0.787180863627579
S.epidermidis,195508,40M,2,3,118967,0.60850195388424
S.pyogenes,9298,40M,2,3,6487,0.697676919767692
C.acnes,1089392,10M,3,3,743154,0.682173175496057
M.restricta,793109,10M,3,3,621370,0.783461037511868
S.epidermidis,56104,10M,3,3,31071,0.553810779980037
S.pyogenes,4732,10M,3,3,3300,0.69737954353339
C.acnes,2500247,20M,3,3,1632489,0.652931090408268
M.restricta,5070811,20M,3,3,4001303,0.789085414542171
S.epidermidis,1051856,20M,3,3,658303,0.625848975525167
S.pyogenes,73217,20M,3,3,54708,0.74720351830859
C.acnes,2529325,40M,3,3,1639756,0.317032805195062
M.restricta,7275421,40M,3,3,5745442,0.204578951513596
S.epidermidis,2401697,40M,3,3,1488398,0.619727634251948
S.pyogenes,1050568,40M,3,3,801879,0.763281386830743
C.acnes,69,40M,1.4,3,20,0.289855072463768
M.restricta,3309,40M,1.4,3,2749,0.830764581444545
S.epidermidis,375,40M,1.4,3,61,0.162666666666667
S.pyogenes,0,40M,1.4,3,0,0
C.acnes,0,40M,1.3,3,0,0
M.restricta,373,40M,1.3,3,210,0.563002680965148
S.epidermidis,0,40M,1.3,3,0,0
S.pyogenes,0,40M,1.3,3,0,0
C.acnes,0,40M,1.2,3,0,0
M.restricta,37,40M,1.2,3,9,0.243243243243243
S.epidermidis,0,40M,1.2,3,0,0
S.pyogenes,0,40M,1.2,3,0,0
C.acnes,0,10M,1.5,4,0,0
M.restricta,168,10M,1.5,4,92,0.547619047619048
S.epidermidis,0,10M,1.5,4,0,0
S.pyogenes,0,10M,1.5,4,0,0
C.acnes,16,20M,1.5,4,2,0.125
M.restricta,1332,20M,1.5,4,1075,0.807057057057057
S.epidermidis,109,20M,1.5,4,44,0.403669724770642
S.pyogenes,0,20M,1.5,4,0,0
C.acnes,2898,40M,1.5,4,1729,0.596618357487923
M.restricta,14281,40M,1.5,4,11045,0.773405223723829
S.epidermidis,2172,40M,1.5,4,378,0.174033149171271
S.pyogenes,59,40M,1.5,4,1,0.0169491525423729
C.acnes,2423,10M,2,4,1696,0.699958728848535
M.restricta,11996,10M,2,4,9357,0.780010003334445
S.epidermidis,1491,10M,2,4,218,0.146210596914822
S.pyogenes,8,10M,2,4,1,0.125
C.acnes,210928,20M,2,4,145997,0.692165098991125
M.restricta,215289,20M,2,4,167883,0.779802962529437
S.epidermidis,9263,20M,2,4,3087,0.333261362409587
S.pyogenes,1350,20M,2,4,1077,0.797777777777778
C.acnes,800223,40M,2,4,555473,0.694147756312928
M.restricta,531559,40M,2,4,411081,0.773349712825858
S.epidermidis,14978,40M,2,4,5836,0.389638135932701
S.pyogenes,2620,40M,2,4,1817,0.693511450381679
C.acnes,1102395,10M,3,4,752838,0.682911297674609
M.restricta,830246,10M,3,4,650144,0.783073932304401
S.epidermidis,59021,10M,3,4,33112,0.561020653665645
S.pyogenes,4505,10M,3,4,3175,0.704772475027747
C.acnes,2502006,20M,3,4,1633398,0.652835364903202
M.restricta,5160393,20M,3,4,4076107,0.789883057356291
S.epidermidis,1080783,20M,3,4,675694,0.625189330328105
S.pyogenes,69297,20M,3,4,51605,0.744693132458837
C.acnes,2529342,40M,3,4,1639742,0.648287973710159
M.restricta,7277205,40M,3,4,5747022,0.789729298542504
S.epidermidis,2403357,40M,3,4,1489175,0.61962288582179
S.pyogenes,1030814,40M,3,4,786917,0.763393783941623
C.acnes,69,40M,1.4,4,24,0.347826086956522
M.restricta,22668,40M,1.4,4,2237,0.0986853714487383
S.epidermidis,428,40M,1.4,4,82,0.191588785046729
S.pyogenes,1,40M,1.4,4,1,1
C.acnes,0,40M,1.3,4,0,0
M.restricta,326,40M,1.3,4,236,0.723926380368098
S.epidermidis,2,40M,1.3,4,0,0
S.pyogenes,0,40M,1.3,4,0,0
C.acnes,0,40M,1.2,4,0,0
M.restricta,8,40M,1.2,4,2,0.25
S.epidermidis,0,40M,1.2,4,0,0
S.pyogenes,0,40M,1.2,4,0,0
